Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE71760362014018SG100,BUMPER,SG1,DAY, 176, 036,2014/01/18,2014:018:08:19:05.1260625,2014:018:08:19:31.8800624, 9, 9,  12.71,  24.40,  19.58,   6.10,   0.78,30.07637596,153.12414551,34°36'22.39"N,33°03'48.85"E,35°33'17.42"N,32°15'14.11"E,35°15'14.33"N,34°19'33.28"E,33°56'49.74"N,31°49'14.63"E,33°39'07.38"N,33°51'13.07"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,-1.713928,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57164   (35°34'17.90"N),  31.71324  (31°42'47.66"E), 35.57043   (35°34'13.55"N),  34.39489  (34°23'41.60"E), 33.64857   (33°38'54.85"N),  31.74258   (31°44'33.29"E), 33.64745   (33°38'50.82"N),  34.36308   (34°21'47.09"E),14221,16201,7111,8101,7111,8101,,,145,3.952,2.587,2.987,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60622,33.06357,35.55484,32.25392,35.25398,34.32591,33.94715,31.82073,33.65205,33.85363,LE71760362014018SG100,LE71760362014018SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362014018SG100
LE71760362014002SG100,BUMPER,SG1,DAY, 176, 036,2014/01/02,2014:002:08:18:53.1678750,2014:002:08:19:19.9218750, 9, 9,  57.77,  76.04,  34.25,  72.08,  48.71,28.44092751,155.72207642,34°36'20.20"N,33°06'16.60"E,35°33'17.14"N,32°17'42.43"E,35°15'13.79"N,34°22'02.46"E,33°56'50.06"N,31°51'43.06"E,33°39'07.49"N,33°53'42.25"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,-15.499922,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56938   (35°34'09.77"N),  31.75631  (31°45'22.72"E), 35.56726   (35°34'02.14"N),  34.43455  (34°26'04.38"E), 33.64899   (33°38'56.36"N),  31.78463   (31°47'04.67"E), 33.64701   (33°38'49.24"N),  34.40189   (34°24'06.80"E),14201,16181,7101,8091,7101,8091,,,26,6.22,3.583,5.084,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60561,33.10461,35.55476,32.29512,35.25383,34.36735,33.94724,31.86196,33.65208,33.89507,LE71760362014002SG100,LE71760362014002SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362014002SG100
LE71760362013351SG100,BUMPER,SG1,DAY, 176, 036,2013/12/17,2013:351:08:18:45.6107499,2013:351:08:19:12.3647500, 9, 9,  43.76,  20.54,  40.28,  52.58,  61.64,28.64335442,157.79922485,34°36'21.24"N,33°07'24.46"E,35°33'08.32"N,32°18'47.27"E,35°15'04.28"N,34°23'09.53"E,33°56'42.61"N,31°52'45.19"E,33°38'59.35"N,33°54'46.62"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,5.597435,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57232   (35°34'20.35"N),  31.77944  (31°46'45.98"E), 35.56965   (35°34'10.74"N),  34.46108  (34°27'39.89"E), 33.64109   (33°38'27.92"N),  31.80738   (31°48'26.57"E), 33.63860   (33°38'18.96"N),  34.42763   (34°25'39.47"E),14281,16201,7141,8101,7141,8101,,,155,3.889,2.324,3.118,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.6059,33.12346,35.55231,32.31313,35.25119,34.38598,33.94517,31.87922,33.64982,33.91295,LE71760362013351SG100,LE71760362013351SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013351SG100
LE71760362013335SG100,BUMPER,SG1,DAY, 176, 036,2013/12/01,2013:335:08:18:45.3953750,2013:335:08:19:12.1493749, 9, 9,  76.89,  56.19,  81.93,  77.67,  91.76,30.60505486,158.9753418,34°36'19.01"N,33°06'21.82"E,35°33'07.24"N,32°17'42.18"E,35°15'02.38"N,34°22'07.90"E,33°56'41.57"N,31°51'43.38"E,33°38'57.41"N,33°53'48.26"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,9.411601,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56935   (35°34'09.66"N),  31.75300  (31°45'10.80"E), 35.56722   (35°34'01.99"N),  34.43786  (34°26'16.30"E), 33.64625   (33°38'46.50"N),  31.78143   (31°46'53.15"E), 33.64427   (33°38'39.37"N),  34.40508   (34°24'18.29"E),14221,16221,7111,8111,7111,8111,,,72,5.023,3.247,3.832,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60528,33.10606,35.55201,32.29505,35.25066,34.36886,33.94488,31.86205,33.64928,33.89674,LE71760362013335SG100,LE71760362013335SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013335SG100
LE71760362013319SG100,BUMPER,SG1,DAY, 176, 036,2013/11/15,2013:319:08:18:37.5071874,2013:319:08:19:04.2611875, 9, 9,  53.50,  62.93,  50.51,  91.79,   8.77,34.04626083,158.89567566,34°36'18.61"N,33°07'04.94"E,35°33'07.56"N,32°18'24.48"E,35°15'02.30"N,34°22'49.26"E,33°56'44.12"N,31°52'26.40"E,33°38'59.71"N,33°54'30.49"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,-15.106243,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56952   (35°34'10.27"N),  31.76955  (31°46'10.38"E), 35.56710   (35°34'01.56"N),  34.44779  (34°26'52.04"E), 33.64911   (33°38'56.80"N),  31.79756   (31°47'51.22"E), 33.64687   (33°38'48.73"N),  34.41483   (34°24'53.39"E),14201,16181,7101,8091,7101,8091,,,62,4.035,2.261,3.342,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60517,33.11804,35.5521,32.3068,35.25064,34.38035,33.94559,31.874,33.64992,33.90847,LE71760362013319SG100,LE71760362013319SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013319SG100
LE71760362013303SG100,BUMPER,SG1,DAY, 176, 036,2013/10/30,2013:303:08:18:30.5346875,2013:303:08:18:57.2886250, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,38.54628372,157.27845764,34°36'17.86"N,33°07'13.91"E,35°33'19.69"N,32°18'40.18"E,35°15'14.69"N,34°23'02.40"E,33°56'53.16"N,31°52'38.42"E,33°39'08.82"N,33°54'39.92"E,N,L,L,L,H,L,L,H,L,L,Y,NOMINAL,DE,-1.058802,LL,LL,LL,HH,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57222   (35°34'19.99"N),  31.76951  (31°46'10.24"E), 35.56977   (35°34'11.17"N),  34.45115  (34°27'04.14"E), 33.64911   (33°38'56.80"N),  31.79756   (31°47'51.22"E), 33.64683   (33°38'48.59"N),  34.41807   (34°25'05.05"E),14221,16201,7111,8101,7111,8101,,,138,3.977,2.6,3.01,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60496,33.12053,35.55547,32.31116,35.25408,34.384,33.9481,31.87734,33.65245,33.91109,LE71760362013303SG100,LE71760362013303SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013303SG100
LE71760362013287ASN00,BUMPER,ASN,DAY, 176, 036,2013/10/14,2013:287:08:18:26.4836250,2013:287:08:18:53.2376250, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,43.61861038,153.95687866,34°36'17.14"N,33°06'28.73"E,35°33'11.99"N,32°17'53.59"E,35°15'06.95"N,34°22'13.22"E,33°56'47.15"N,31°51'53.42"E,33°39'03.10"N,33°53'52.55"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,15.436169,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56668   (35°34'00.05"N),  31.75635  (31°45'22.86"E), 35.56452   (35°33'52.27"N),  34.43781  (34°26'16.12"E), 33.64628   (33°38'46.61"N),  31.78466   (31°47'04.78"E), 33.64427   (33°38'39.37"N),  34.40508   (34°24'18.29"E),14201,16201,7101,8101,7101,8101,,,126,4.145,2.72,3.128,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60476,33.10798,35.55333,32.29822,35.25193,34.37034,33.94643,31.86484,33.65086,33.89793,LE71760362013287ASN00,LE71760362013287ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013287ASN00
LE71760362013271ASN00,BUMPER,ASN,DAY, 176, 036,2013/09/28,2013:271:08:18:13.0351874,2013:271:08:18:39.7891875, 9, 9,   5.20,   4.81,   2.34,   4.58,   9.08,48.77845764,148.89680481,34°36'17.39"N,33°07'50.09"E,35°33'06.91"N,32°19'15.49"E,35°15'02.16"N,34°23'33.50"E,33°56'40.38"N,31°53'14.21"E,33°38'56.15"N,33°55'11.46"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,3.377873,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56969   (35°34'10.88"N),  31.78610  (31°47'09.96"E), 35.56686   (35°34'00.70"N),  34.46765  (34°28'03.54"E), 33.64116   (33°38'28.18"N),  31.81385   (31°48'49.86"E), 33.63853   (33°38'18.71"N),  34.43410   (34°26'02.76"E),14261,16201,7131,8101,7131,8101,,,63,4.081,2.632,3.119,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60483,33.13058,35.55192,32.32097,35.2506,34.39264,33.94455,31.88728,33.64893,33.91985,LE71760362013271ASN00,LE71760362013271ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013271ASN00
LE71760362013223ASN00,BUMPER,ASN,DAY, 176, 036,2013/08/11,2013:223:08:17:39.9379999,2013:223:08:18:06.6920624, 9, 9,   3.19,   0.56,   1.45,   4.60,   6.16,61.19763565,126.47784424,34°36'15.08"N,33°08'39.95"E,35°33'14.15"N,32°20'04.99"E,35°15'07.42"N,34°24'29.09"E,33°56'49.38"N,31°54'03.49"E,33°39'03.92"N,33°56'06.90"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-14.316281,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57256   (35°34'21.22"N),  31.80261  (31°48'09.40"E), 35.56937   (35°34'09.73"N),  34.48425  (34°29'03.30"E), 33.64401   (33°38'38.44"N),  31.82998   (31°49'47.93"E), 33.64104   (33°38'27.74"N),  34.45032   (34°27'01.15"E),14261,16201,7131,8101,7131,8101,,,74,5.181,3.207,4.069,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60419,33.14443,35.55393,32.33472,35.25206,34.40808,33.94705,31.90097,33.65109,33.93525,LE71760362013223ASN00,LE71760362013223ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013223ASN00
LE71760362013207ASN00,BUMPER,ASN,DAY, 176, 036,2013/07/26,2013:207:08:17:44.4172500,2013:207:08:18:11.1712499, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,63.83981705,119.40293884,34°36'31.64"N,33°06'21.89"E,35°33'25.27"N,32°17'43.04"E,35°15'24.52"N,34°22'08.94"E,33°56'58.49"N,31°51'45.18"E,33°39'18.50"N,33°53'50.28"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,11.299466,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57486   (35°34'29.50"N),  31.76285  (31°45'46.26"E), 35.57255   (35°34'21.18"N),  34.44458  (34°26'40.49"E), 33.64635   (33°38'46.86"N),  31.79113   (31°47'28.07"E), 33.64420   (33°38'39.12"N),  34.41155   (34°24'41.58"E),14261,16201,7131,8101,7131,8101,,,70,5.562,2.933,4.726,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60879,33.10608,35.55702,32.29529,35.25681,34.36915,33.94958,31.86255,33.65514,33.8973,LE71760362013207ASN00,LE71760362013207ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013207ASN00
LE71760362013191ASN00,BUMPER,ASN,DAY, 176, 036,2013/07/10,2013:191:08:17:50.8407499,2013:191:08:18:17.5947500, 9, 9,   3.25,   0.33,   0.07,   2.68,   9.91,65.82008362,114.61045074,34°36'30.64"N,33°06'42.91"E,35°33'14.69"N,32°18'01.58"E,35°15'14.08"N,34°22'25.32"E,33°56'48.23"N,31°52'06.06"E,33°39'07.99"N,33°54'09.00"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,6.022868,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57222   (35°34'19.99"N),  31.76951  (31°46'10.24"E), 35.56981   (35°34'11.32"N),  34.44784  (34°26'52.22"E), 33.64370   (33°38'37.32"N),  31.79764   (31°47'51.50"E), 33.64146   (33°38'29.26"N),  34.41474   (34°24'53.06"E),14261,16181,7131,8091,7131,8091,,,84,8.836,8.041,3.662,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60851,33.11192,35.55408,32.30044,35.25391,34.3737,33.94673,31.86835,33.65222,33.9025,LE71760362013191ASN00,LE71760362013191ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013191ASN00
LE71760362013175ASN00,BUMPER,ASN,DAY, 176, 036,2013/06/24,2013:175:08:18:02.7301249,2013:175:08:18:29.4841250, 9, 9,   0.09,   0.01,   0.00,   0.06,   0.26,67.08626556,113.14230347,34°36'29.52"N,33°05'31.63"E,35°33'16.09"N,32°16'53.58"E,35°15'15.77"N,34°21'13.14"E,33°56'48.48"N,31°50'55.50"E,33°39'08.60"N,33°52'54.37"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-6.040174,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57202   (35°34'19.27"N),  31.74965  (31°44'58.74"E), 35.57005   (35°34'12.18"N),  34.42798  (34°25'40.73"E), 33.64351   (33°38'36.64"N),  31.77823   (31°46'41.63"E), 33.64168   (33°38'30.05"N),  34.39534   (34°23'43.22"E),14261,16181,7131,8091,7131,8091,,,64,4.579,3.257,3.218,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.6082,33.09212,35.55447,32.28155,35.25438,34.35365,33.9468,31.84875,33.65239,33.88177,LE71760362013175ASN00,LE71760362013175ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013175ASN00
LE71760362013143SG100,BUMPER,SG1,DAY, 176, 036,2013/05/23,2013:143:08:18:17.0701874,2013:143:08:18:43.8242499, 9, 9,   0.94,   1.23,   0.01,   2.33,   0.17,66.46936035,120.79965973,34°36'29.02"N,33°05'07.33"E,35°33'21.49"N,32°16'32.70"E,35°15'21.38"N,34°20'50.14"E,33°56'55.54"N,31°50'35.84"E,33°39'15.95"N,33°52'32.48"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-2.682819,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57465   (35°34'28.74"N),  31.74298  (31°44'34.73"E), 35.57283   (35°34'22.19"N),  34.42141  (34°25'17.08"E), 33.64616   (33°38'46.18"N),  31.77173   (31°46'18.23"E), 33.64445   (33°38'40.02"N),  34.38891   (34°23'20.08"E),14261,16181,7131,8091,7131,8091,,,78,4.621,2.985,3.527,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60806,33.08537,35.55597,32.27575,35.25594,34.34726,33.94876,31.84329,33.65443,33.87569,LE71760362013143SG100,LE71760362013143SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013143SG100
LE71760362013127SG100,BUMPER,SG1,DAY, 176, 036,2013/05/07,2013:127:08:18:19.8566875,2013:127:08:18:46.6106874, 9, 9,   0.12,   0.37,   0.03,   0.00,   0.07,63.92772293,127.34490967,34°36'28.80"N,33°05'57.16"E,35°33'22.07"N,32°17'18.17"E,35°15'21.24"N,34°21'38.99"E,33°56'57.01"N,31°51'20.34"E,33°39'16.99"N,33°53'20.33"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-11.499046,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57202   (35°34'19.27"N),  31.74965  (31°44'58.74"E), 35.57005   (35°34'12.18"N),  34.42798  (34°25'40.73"E), 33.65163   (33°39'05.87"N),  31.77812   (31°46'41.23"E), 33.64979   (33°38'59.24"N),  34.39547   (34°23'43.69"E),14201,16181,7101,8091,7101,8091,,,76,4.85,3.535,3.32,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.608,33.09921,35.55613,32.28838,35.2559,34.36083,33.94917,31.85565,33.65472,33.88898,LE71760362013127SG100,LE71760362013127SG100,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013127SG100
LE71760362013111ASN00,BUMPER,ASN,DAY, 176, 036,2013/04/21,2013:111:08:18:22.3858125,2013:111:08:18:49.1398750, 9, 9,  25.27,  47.38,  25.39,  18.11,  10.21,59.84433746,133.34408569,34°36'27.25"N,33°06'37.22"E,35°33'22.93"N,32°17'58.99"E,35°15'21.13"N,34°22'22.58"E,33°56'56.90"N,31°52'03.18"E,33°39'16.16"N,33°54'05.98"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,12.24963,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57493   (35°34'29.75"N),  31.76947  (31°46'10.09"E), 35.57251   (35°34'21.04"N),  34.44789  (34°26'52.40"E), 33.64641   (33°38'47.08"N),  31.79760   (31°47'51.36"E), 33.64416   (33°38'38.98"N),  34.41479   (34°24'53.24"E),14261,16181,7131,8091,7131,8091,,,35,3.953,2.785,2.805,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60757,33.11034,35.55637,32.29972,35.25587,34.37294,33.94914,31.86755,33.65449,33.90166,LE71760362013111ASN00,LE71760362013111ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013111ASN00
LE71760362013095ASN00,BUMPER,ASN,DAY, 176, 036,2013/04/05,2013:095:08:18:29.3188749,2013:095:08:18:56.0729374, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,54.58762741,138.12660217,34°36'27.50"N,33°06'07.06"E,35°33'13.79"N,32°17'24.94"E,35°15'11.45"N,34°21'50.18"E,33°56'48.70"N,31°51'27.18"E,33°39'07.74"N,33°53'31.81"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-2.099679,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57209   (35°34'19.52"N),  31.75627  (31°45'22.57"E), 35.56993   (35°34'11.75"N),  34.43791  (34°26'16.48"E), 33.64358   (33°38'36.89"N),  31.78470   (31°47'04.92"E), 33.64157   (33°38'29.65"N),  34.40504   (34°24'18.14"E),14261,16201,7131,8101,7131,8101,,,148,4.341,3.169,2.967,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60764,33.10196,35.55383,32.29026,35.25318,34.36394,33.94686,31.85755,33.65215,33.89217,LE71760362013095ASN00,LE71760362013095ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013095ASN00
LE71760362013079ASN00,BUMPER,ASN,DAY, 176, 036,2013/03/20,2013:079:08:18:32.2671250,2013:079:08:18:59.0211875, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,48.6835289,141.86210632,34°36'27.65"N,33°06'22.10"E,35°33'19.33"N,32°17'39.55"E,35°15'17.24"N,34°22'02.82"E,33°56'52.94"N,31°51'44.57"E,33°39'11.56"N,33°53'47.15"E,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-9.312402,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56935   (35°34'09.66"N),  31.75300  (31°45'10.80"E), 35.56726   (35°34'02.14"N),  34.43455  (34°26'04.38"E), 33.64896   (33°38'56.26"N),  31.78139   (31°46'53.00"E), 33.64701   (33°38'49.24"N),  34.40189   (34°24'06.80"E),14201,16201,7101,8101,7101,8101,,,170,4.417,3.092,3.154,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60768,33.10614,35.55537,32.29432,35.25479,34.36745,33.94804,31.86238,33.65321,33.89643,LE71760362013079ASN00,LE71760362013079ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013079ASN00
LE71760362013063ASN00,BUMPER,ASN,DAY, 176, 036,2013/03/04,2013:063:08:18:35.3265625,2013:063:08:19:02.0806250, 9, 9,  39.45,  60.87,  47.81,  34.59,  14.51,42.70012665,144.98934937,34°36'26.64"N,33°06'17.71"E,35°33'19.58"N,32°17'41.10"E,35°15'17.75"N,34°22'01.56"E,33°56'54.60"N,31°51'43.78"E,33°39'13.46"N,33°53'43.62"E,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-9.54254,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56938   (35°34'09.77"N),  31.75631  (31°45'22.72"E), 35.56730   (35°34'02.28"N),  34.43124  (34°25'52.46"E), 33.64899   (33°38'56.36"N),  31.78463   (31°47'04.67"E), 33.64705   (33°38'49.38"N),  34.39866   (34°23'55.18"E),14201,16161,7101,8081,7101,8081,,,16,3.528,1.935,2.95,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.6074,33.10492,35.55544,32.29475,35.25493,34.3671,33.9485,31.86216,33.65374,33.89545,LE71760362013063ASN00,LE71760362013063ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013063ASN00
LE71760362013047ASN00,BUMPER,ASN,DAY, 176, 036,2013/02/16,2013:047:08:18:38.3506250,2013:047:08:19:05.1046874, 9, 9,  24.79,  45.10,   9.20,  27.43,  17.41,37.19819641,147.88240051,34°36'25.31"N,33°06'00.36"E,35°33'16.02"N,32°17'24.25"E,35°15'14.29"N,34°21'41.65"E,33°56'49.96"N,31°51'25.88"E,33°39'08.93"N,33°53'22.67"E,N,L,L,L,H,L,L,H,L,L,Y,NOMINAL,DE,15.766715,LL,LL,LL,HH,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56931   (35°34'09.52"N),  31.74969  (31°44'58.88"E), 35.56734   (35°34'02.42"N),  34.42793  (34°25'40.55"E), 33.64892   (33°38'56.11"N),  31.77816   (31°46'41.38"E), 33.64709   (33°38'49.52"N),  34.39543   (34°23'43.55"E),14201,16181,7101,8091,7101,8091,,,74,3.837,2.214,3.134,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60703,33.1001,35.55445,32.29007,35.25397,34.36157,33.94721,31.85719,33.65248,33.88963,LE71760362013047ASN00,LE71760362013047ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013047ASN00
LE71760362013015ASN00,BUMPER,ASN,DAY, 176, 036,2013/01/15,2013:015:08:18:34.8408124,2013:015:08:19:01.5948749, 9, 9,  11.10,  15.55,  16.76,   5.02,   7.05,29.63998032,153.52288818,34°36'22.75"N,33°06'52.09"E,35°33'15.80"N,32°18'15.59"E,35°15'12.78"N,34°22'36.19"E,33°56'49.63"N,31°52'18.37"E,33°39'07.45"N,33°54'18.14"E,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,-8.737564,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56948   (35°34'10.13"N),  31.76624  (31°45'58.46"E), 35.56718   (35°34'01.85"N),  34.44117  (34°26'28.21"E), 33.64908   (33°38'56.69"N),  31.79433   (31°47'39.59"E), 33.64694   (33°38'48.98"N),  34.40836   (34°24'30.10"E),14201,16161,7101,8081,7101,8081,,,197,3.922,2.74,2.806,UTM,WGS84,WGS84,36,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,34.60632,33.11447,35.55439,32.30433,35.25355,34.37672,33.94712,31.87177,33.65207,33.90504,LE71760362013015ASN00,LE71760362013015ASN00,http://earthexplorer.usgs.gov/download/options/5441/LE71760362013015ASN00
