Landsat Scene Identifier,Spacecraft Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,WRS Type,Date Acquired,Start Time,Stop Time,Sensor Anomalies,Acquisition Quality,Quality Band 1,Quality Band 2,Quality Band 3,Quality Band 4,Quality Band 5,Quality Band 6,Quality Band 7,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Browse  Exists,Data Category,Map Projection LORa,Data Type L0Rp,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Reflective Samples,Reflective Lines,Thermal Lines,Thermal Samples,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Geometric RMSE Verify,Map Projection Level 1,Datum,Ellipsoid,UTM Zone,Vertical Long from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LT51760362011034MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/02/03,2011:034:08:12:23.88781,2011:034:08:12:50.50069,N,9,9,9,9,9,9,9,9,86.04,78.14,72.28,96.11,97.62,32.64124138,148.6585173, 34.61434   (34°36'51.62"N),  33.10792   (33°06'28.51"E), 35.54591   (35°32'45.28"N),  32.32853  (32°19'42.71"E), 35.25412   (35°15'14.83"N),  34.33354   (34°20'00.74"E), 33.96346   (33°57'48.46"N),  31.90019   (31°54'00.68"E), 33.67702 (33°40'37.27"N),  33.86890   (33°52'08.04"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.55887   (35°33'31.93"N),  31.78626   (31°47'10.54"N), 35.55649   (35°33'23.36"N),  34.43105   (34°25'51.78"N), 33.63845   (33°38'18.42"N),  31.81389  (31°48'50.00"E), 33.63623   (33°38'10.43"N),  34.39849   (34°23'54.56"N),7991,7101,7101,7991,119,3.568,2.231,2.784,.109,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61434,33.10792,35.54591,32.32853,35.25412,34.33354,33.96346,31.90019,33.67702,33.8689,LT51760362011034MOR00,LT51760362011034MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011034MOR00
LT51760362011018MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/01/18,2011:018:08:12:22.69813,2011:018:08:12:49.31094,N,9,9,9,9,9,9,9,9,40.59,20.76,34.87,51.06,55.67,29.39109213,151.54379542, 34.61492   (34°36'53.71"N),  33.11326   (33°06'47.74"E), 35.54649   (35°32'47.36"N),  32.33386  (32°20'01.90"E), 35.25469   (35°15'16.88"N),  34.33889   (34°20'20.00"E), 33.96405   (33°57'50.58"N),  31.90552   (31°54'19.87"E), 33.67760 (33°40'39.36"N),  33.87425   (33°52'27.30"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56157   (35°33'41.65"N),  31.78622   (31°47'10.39"N), 35.55927   (35°33'33.37"N),  34.42448   (34°25'28.13"N), 33.64116   (33°38'28.18"N),  31.81385  (31°48'49.86"E), 33.63901   (33°38'20.44"N),  34.39206   (34°23'31.42"N),7971,7101,7101,7971,107,3.977,2.441,3.14,.119,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61492,33.11326,35.54649,32.33386,35.25469,34.33889,33.96405,31.90552,33.6776,33.87425,LT51760362011018MOR00,LT51760362011018MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011018MOR00
LT51760362011002MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2011/01/02,2011:002:08:12:21.89738,2011:002:08:12:48.51025,N,9,9,9,9,9,9,9,9,47.29,83.34,54.62,39.45,11.74,27.84652063,154.1810895, 34.61185   (34°36'42.66"N),  33.11040   (33°06'37.44"E), 35.54342   (35°32'36.31"N),  32.33103  (32°19'51.71"E), 35.25163   (35°15'05.87"N),  34.33598   (34°20'09.53"E), 33.96097   (33°57'39.49"N),  31.90271   (31°54'09.76"E), 33.67454 (33°40'28.34"N),  33.87136   (33°52'16.90"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.55894   (35°33'32.18"N),  31.79288   (31°47'34.37"N), 35.55652   (35°33'23.47"N),  34.42774   (34°25'39.86"N), 33.63851   (33°38'18.64"N),  31.82035  (31°49'13.26"E), 33.63627   (33°38'10.57"N),  34.39525   (34°23'42.90"N),7961,7101,7101,7961,106,4.005,2.532,3.103,.102,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61185,33.1104,35.54342,32.33103,35.25163,34.33598,33.96097,31.90271,33.67454,33.87136,LT51760362011002MOR00,LT51760362011002MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362011002MOR00
LT51760362010319MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/11/15,2010:319:08:12:13.96188,2010:319:08:12:40.57475,N,9,9,9,9,9,9,9,9,22.79,12.39,35.4,27.55,15.82,33.61839471,157.15237132, 34.62106   (34°37'15.82"N),  33.10066   (33°06'02.38"E), 35.55264   (35°33'09.50"N),  32.32121  (32°19'16.36"E), 35.26082   (35°15'38.95"N),  34.32639   (34°19'35.00"E), 33.97020   (33°58'12.72"N),  31.89283   (31°53'34.19"E), 33.68373 (33°41'01.43"N),  33.86169   (33°51'42.08"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57496   (35°34'29.86"N),  31.77278   (31°46'22.01"N), 35.57283   (35°34'22.19"N),  34.42141   (34°25'17.08"N), 33.65456   (33°39'16.42"N),  31.80072  (31°48'02.59"E), 33.65257   (33°39'09.25"N),  34.38904   (34°23'20.54"N),8001,7101,7101,8001,120,3.996,2.506,3.113,.102,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62106,33.10066,35.55264,32.32121,35.26082,34.32639,33.9702,31.89283,33.68373,33.86169,LT51760362010319MOR00,LT51760362010319MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010319MOR00
LT51760362010303MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/10/30,2010:303:08:12:14.87131,2010:303:08:12:41.48419,N,9,9,9,9,9,9,9,9,28.22,16.88,26.86,36.86,32.28,38.10537003,155.4005544, 34.61938   (34°37'09.77"N),  33.07060   (33°04'14.16"E), 35.55095   (35°33'03.42"N),  32.29117  (32°17'28.21"E), 35.25914   (35°15'32.90"N),  34.29630   (34°17'46.68"E), 33.96851   (33°58'06.64"N),  31.86280   (31°51'46.08"E), 33.68206 (33°40'55.42"N),  33.83162   (33°49'53.83"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.62621   (35°37'34.36"N),  31.75874   (31°45'31.46"N), 35.62436   (35°37'27.70"N),  34.40907   (34°24'32.65"N), 33.70583   (33°42'20.99"N),  31.78706  (31°47'13.42"E), 33.70411   (33°42'14.80"N),  34.37693   (34°22'36.95"N),8001,7101,7101,8001,44,3.934,2.45,3.078,.141,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61938,33.0706,35.55095,32.29117,35.25914,34.2963,33.96851,31.8628,33.68206,33.83162,LT51760362010303MOR00,LT51760362010303MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010303MOR00
LT51760362010287MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/10/14,2010:287:08:12:24.50063,2010:287:08:12:51.11350,N,9,9,9,9,9,9,9,9,.25,.24,.68,.1,0,43.13472446,151.97432961, 34.62364   (34°37'25.10"N),  33.05317   (33°03'11.41"E), 35.55522   (35°33'18.79"N),  32.27370  (32°16'25.32"E), 35.26339   (35°15'48.20"N),  34.27894   (34°16'44.18"E), 33.97278   (33°58'22.01"N),  31.84530   (31°50'43.08"E), 33.68631 (33°41'10.72"N),  33.81422   (33°48'51.19"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57178   (35°34'18.41"N),  31.72648   (31°43'35.33"N), 35.57070   (35°34'14.52"N),  34.37172   (34°22'18.19"N), 33.65140   (33°39'05.04"N),  31.75548  (31°45'19.73"E), 33.65040   (33°39'01.44"N),  34.34048   (34°20'25.73"N),7991,7101,7101,7991,176,4.004,2.594,3.05,.112,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62364,33.05317,35.55522,32.2737,35.26339,34.27894,33.97278,31.8453,33.68631,33.81422,LT51760362010287MOR00,LT51760362010287MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010287MOR00
LT51760362010271MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/09/28,2010:271:08:12:33.22288,2010:271:08:12:59.83581,N,7,7,7,7,7,7,7,7,.96,3.44,.29,.13,0,48.21839702,146.82591076, 34.62951   (34°37'46.24"N),  33.06087   (33°03'39.13"E), 35.56110   (35°33'39.96"N),  32.28136  (32°16'52.90"E), 35.26925   (35°16'09.30"N),  34.28674   (34°17'12.26"E), 33.97866   (33°58'43.18"N),  31.85291   (31°51'10.48"E), 33.69217 (33°41'31.81"N),  33.82196   (33°49'19.06"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57455   (35°34'28.38"N),  31.73305   (31°43'58.98"N), 35.57340   (35°34'24.24"N),  34.37176   (34°22'18.34"N), 33.65147   (33°39'05.29"N),  31.76194  (31°45'42.98"E), 33.65040   (33°39'01.44"N),  34.34048   (34°20'25.73"N),7971,7111,7111,7971,149,4.089,2.784,2.995,.134,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62951,33.06087,35.5611,32.28136,35.26925,34.28674,33.97866,31.85291,33.69217,33.82196,LT51760362010271MOR00,LT51760362010271MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010271MOR00
LT51760362010239MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/08/27,2010:239:08:12:43.81881,2010:239:08:13:10.43175,N,9,9,9,9,9,9,9,9,.08,0,.06,0,.25,57.04194145,132.42862737, 34.62450   (34°37'28.20"N),  33.08770   (33°05'15.72"E), 35.55608   (35°33'21.89"N),  32.30823  (32°18'29.63"E), 35.26425   (35°15'51.30"N),  34.31349   (34°18'48.56"E), 33.97364   (33°58'25.10"N),  31.87982   (31°52'47.35"E), 33.68717 (33°41'13.81"N),  33.84875   (33°50'55.50"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.57219   (35°34'19.88"N),  31.76620   (31°45'58.32"N), 35.57032   (35°34'13.15"N),  34.40481   (34°24'17.32"N), 33.65449   (33°39'16.16"N),  31.79425  (31°47'39.30"E), 33.65275   (33°39'09.90"N),  34.37287   (34°22'22.33"N),7971,7091,7091,7971,162,4.494,3.285,3.066,.16,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.6245,33.0877,35.55608,32.30823,35.26425,34.31349,33.97364,31.87982,33.68717,33.84875,LT51760362010239MOR00,LT51760362010239MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010239MOR00
LT51760362010191MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/07/10,2010:191:08:12:58.21950,2010:191:08:13:24.83250,N,9,9,9,9,9,9,9,9,2.62,1.62,2.15,2.02,4.7,64.91050672,112.96692341, 34.61682   (34°37'00.55"N),  33.10050   (33°06'01.80"E), 35.54839   (35°32'54.20"N),  32.32109  (32°19'15.92"E), 35.25659   (35°15'23.72"N),  34.32616   (34°19'34.18"E), 33.96595   (33°57'57.42"N),  31.89274   (31°53'33.86"E), 33.67950 (33°40'46.20"N),  33.86150   (33°51'41.40"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56411   (35°33'50.80"N),  31.76963   (31°46'10.67"N), 35.56205   (35°33'43.38"N),  34.41791   (34°25'04.48"N), 33.64100   (33°38'27.60"N),  31.79768  (31°47'51.65"E), 33.63908   (33°38'20.69"N),  34.38559   (34°23'08.12"N),8001,7111,7111,8001,105,5.678,4.535,3.416,.237,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61682,33.1005,35.54839,32.32109,35.25659,34.32616,33.96595,31.89274,33.6795,33.8615,LT51760362010191MOR00,LT51760362010191MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010191MOR00
LT51760362010175MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/06/24,2010:175:08:13:02.13575,2010:175:08:13:28.74869,N,9,9,9,9,9,9,9,9,15.72,10.84,21.59,9.7,20.76,66.151802,111.56175699, 34.61391   (34°36'50.08"N),  33.10207   (33°06'07.45"E), 35.54548   (35°32'43.73"N),  32.32268  (32°19'21.65"E), 35.25369   (35°15'13.28"N),  34.32769   (34°19'39.68"E), 33.96303   (33°57'46.91"N),  31.89435   (31°53'39.66"E), 33.67659 (33°40'35.72"N),  33.86305   (33°51'46.98"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.55877   (35°33'31.57"N),  31.77633   (31°46'34.79"N), 35.55660   (35°33'23.76"N),  34.42112   (34°25'16.03"N), 33.63836   (33°38'18.10"N),  31.80418  (31°48'15.05"E), 33.63634   (33°38'10.82"N),  34.38878   (34°23'19.61"N),7991,7101,7101,7991,75,5.274,4.195,3.196,.224,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61391,33.10207,35.54548,32.32268,35.25369,34.32769,33.96303,31.89435,33.67659,33.86305,LT51760362010175MOR00,LT51760362010175MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010175MOR00
LT51760362010127MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/05/07,2010:127:08:13:15.52550,2010:127:08:13:42.13838,N,9,9,9,9,9,9,9,9,.99,.04,1.67,1.58,.68,63.02730639,125.53452243, 34.61555   (34°36'55.98"N),  33.09137   (33°05'28.93"E), 35.54712   (35°32'49.63"N),  32.31197  (32°18'43.09"E), 35.25532   (35°15'19.15"N),  34.31701   (34°19'01.24"E), 33.96468   (33°57'52.85"N),  31.88362   (31°53'01.03"E), 33.67823 (33°40'41.63"N),  33.85236   (33°51'08.50"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56137   (35°33'40.93"N),  31.76636   (31°45'58.90"N), 35.55954   (35°33'34.34"N),  34.40132   (34°24'04.75"N), 33.64097   (33°38'27.49"N),  31.79444  (31°47'39.98"E), 33.63926   (33°38'21.34"N),  34.36942   (34°22'09.91"N),7961,7101,7101,7961,170,4.587,3.255,3.232,.18,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61555,33.09137,35.54712,32.31197,35.25532,34.31701,33.96468,31.88362,33.67823,33.85236,LT51760362010127MOR00,LT51760362010127MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010127MOR00
LT51760362010111MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/04/21,2010:111:08:13:18.51919,2010:111:08:13:45.13213,N,9,9,9,9,9,9,9,9,14.39,24.5,12.81,8.35,11.89,58.97728259,131.53335232, 34.62277   (34°37'21.97"N),  33.09197   (33°05'31.09"E), 35.55435   (35°33'15.66"N),  32.31251  (32°18'45.04"E), 35.26253   (35°15'45.11"N),  34.31773   (34°19'03.83"E), 33.97191   (33°58'18.88"N),  31.88412   (31°53'02.83"E), 33.68544 (33°41'07.58"N),  33.85301   (33°51'10.84"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56945   (35°34'10.02"N),  31.76293   (31°45'46.55"N), 35.56761   (35°34'03.40"N),  34.40477   (34°24'17.17"N), 33.64905   (33°38'56.58"N),  31.79110  (31°47'27.96"E), 33.64734   (33°38'50.42"N),  34.37279   (34°22'22.04"N),7981,7101,7101,7981,87,4.738,3.405,3.295,.181,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62277,33.09197,35.55435,32.31251,35.26253,34.31773,33.97191,31.88412,33.68544,33.85301,LT51760362010111MOR00,LT51760362010111MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010111MOR00
LT51760362010095MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/04/05,2010:095:08:13:21.57000,2010:095:08:13:48.18288,N,9,9,9,9,9,9,9,9,0,0,0,0,0,53.75884607,136.39236097, 34.62169   (34°37'18.08"N),  33.08850   (33°05'18.60"E), 35.55327   (35°33'11.77"N),  32.30905  (32°18'32.58"E), 35.26145   (35°15'41.22"N),  34.31424   (34°18'51.26"E), 33.97083   (33°58'14.99"N),  31.88066   (31°52'50.38"E), 33.68436 (33°41'03.70"N),  33.84953   (33°50'58.31"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56397   (35°33'50.29"N),  31.75639   (31°45'23.00"N), 35.56224   (35°33'44.06"N),  34.40136   (34°24'04.90"N), 33.64087   (33°38'27.13"N),  31.78474  (31°47'05.06"E), 33.63926   (33°38'21.34"N),  34.36942   (34°22'09.91"N),7991,7111,7111,7991,204,4.341,2.777,3.337,.154,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62169,33.0885,35.55327,32.30905,35.26145,34.31424,33.97083,31.88066,33.68436,33.84953,LT51760362010095MOR00,LT51760362010095MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010095MOR00
LT51760362010063MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/03/04,2010:063:08:13:23.30638,2010:063:08:13:49.91913,N,9,9,9,9,9,9,9,9,65.16,92.12,57.35,53.19,57.98,41.95559708,143.47686584, 34.62097   (34°37'15.49"N),  33.08853   (33°05'18.71"E), 35.55255   (35°33'09.18"N),  32.30908  (32°18'32.69"E), 35.26073   (35°15'38.63"N),  34.31426   (34°18'51.34"E), 33.97011   (33°58'12.40"N),  31.88070   (31°52'50.52"E), 33.68364 (33°41'01.10"N),  33.84956   (33°50'58.42"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56945   (35°34'10.02"N),  31.76293   (31°45'46.55"N), 35.56757   (35°34'03.25"N),  34.40808   (34°24'29.09"N), 33.64635   (33°38'46.86"N),  31.79113  (31°47'28.07"E), 33.64460   (33°38'40.56"N),  34.37598   (34°22'33.53"N),7991,7111,7111,7991,71,4.705,2.883,3.718,.143,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62097,33.08853,35.55255,32.30908,35.26073,34.31426,33.97011,31.8807,33.68364,33.84956,LT51760362010063MOR00,LT51760362010063MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010063MOR00
LT51760362010047MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/02/16,2010:047:08:13:21.38588,2010:047:08:13:47.99881,N,9,9,9,9,9,9,9,9,33.05,26.63,67.95,.22,37.38,36.50464688,146.46711316, 34.61595   (34°36'57.42"N),  33.09226   (33°05'32.14"E), 35.54752   (35°32'51.07"N),  32.31285  (32°18'46.26"E), 35.25572   (35°15'20.59"N),  34.31791   (34°19'04.48"E), 33.96508   (33°57'54.29"N),  31.88451   (31°53'04.24"E), 33.67863 (33°40'43.07"N),  33.85325   (33°51'11.70"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56411   (35°33'50.80"N),  31.76963   (31°46'10.67"N), 35.56217   (35°33'43.81"N),  34.40798   (34°24'28.73"N), 33.64370   (33°38'37.32"N),  31.79764  (31°47'51.50"E), 33.64189   (33°38'30.80"N),  34.37593   (34°22'33.35"N),7971,7101,7101,7971,193,3.555,2.286,2.723,.097,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61595,33.09226,35.54752,32.31285,35.25572,34.31791,33.96508,31.88451,33.67863,33.85325,LT51760362010047MOR00,LT51760362010047MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010047MOR00
LT51760362010031MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/01/31,2010:031:08:13:18.70119,2010:031:08:13:45.31419,N,9,9,9,9,9,9,9,9,16.57,41.01,16.09,6.99,2.2,32.06746318,149.39421853, 34.61443   (34°36'51.95"N),  33.09442   (33°05'39.91"E), 35.54600   (35°32'45.60"N),  32.31503  (32°18'54.11"E), 35.25421   (35°15'15.16"N),  34.32004   (34°19'12.14"E), 33.96356   (33°57'48.82"N),  31.88669   (31°53'12.08"E), 33.67711 (33°40'37.60"N),  33.85540   (33°51'19.44"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56144   (35°33'41.18"N),  31.77298   (31°46'22.73"N), 35.55946   (35°33'34.06"N),  34.40793   (34°24'28.55"N), 33.64103   (33°38'27.71"N),  31.80091  (31°48'03.28"E), 33.63919   (33°38'21.08"N),  34.37589   (34°22'33.20"N),7961,7101,7101,7961,92,2.962,2.222,1.959,.105,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61443,33.09442,35.546,32.31503,35.25421,34.32004,33.96356,31.88669,33.67711,33.8554,LT51760362010031MOR00,LT51760362010031MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010031MOR00
LT51760362010015MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2010/01/15,2010:015:08:13:14.82431,2010:015:08:13:41.43713,N,9,9,9,9,9,9,9,9,48.48,56.81,64.88,22.05,50.17,29.08048182,152.23440343, 34.62175   (34°37'18.30"N),  33.09807   (33°05'53.05"E), 35.55333   (35°33'11.99"N),  32.31862  (32°19'07.03"E), 35.26151   (35°15'41.44"N),  34.32381   (34°19'25.72"E), 33.97089   (33°58'15.20"N),  31.89023   (31°53'24.83"E), 33.68442 (33°41'03.91"N),  33.85910   (33°51'32.76"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56962   (35°34'10.63"N),  31.77948   (31°46'46.13"N), 35.56746   (35°34'02.86"N),  34.41801   (34°25'04.84"N), 33.64921   (33°38'57.16"N),  31.80727  (31°48'26.17"E), 33.64720   (33°38'49.92"N),  34.38572   (34°23'08.59"N),7971,7101,7101,7971,30,4.388,2.778,3.397,.123,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.62175,33.09807,35.55333,32.31862,35.26151,34.32381,33.97089,31.89023,33.68442,33.8591,LT51760362010015MOR00,LT51760362010015MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362010015MOR00
LT51760362009348MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2009/12/14,2009:348:08:13:03.14131,2009:348:08:13:29.75425,N,9,9,9,9,9,9,9,9,27.85,30.41,55.33,11.47,14.18,28.42092911,156.68957858, 34.61827   (34°37'05.77"N),  33.10207   (33°06'07.45"E), 35.54984   (35°32'59.42"N),  32.32264  (32°19'21.50"E), 35.25804   (35°15'28.94"N),  34.32776   (34°19'39.94"E), 33.96740   (33°58'02.64"N),  31.89428   (31°53'39.41"E), 33.68095 (33°40'51.42"N),  33.86308   (33°51'47.09"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56692   (35°34'00.91"N),  31.77952   (31°46'46.27"N), 35.56468   (35°33'52.85"N),  34.42458   (34°25'28.49"N), 33.64650   (33°38'47.40"N),  31.80731  (31°48'26.32"E), 33.64442   (33°38'39.91"N),  34.39215   (34°23'31.74"N),7991,7101,7101,7991,141,3.636,2.401,2.731,.114,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61827,33.10207,35.54984,32.32264,35.25804,34.32776,33.9674,31.89428,33.68095,33.86308,LT51760362009348MOR00,LT51760362009348MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362009348MOR00
LT51760362009332MOR00,LANDSAT_5,BUMPER,MOR,DAY, 176, 036,2,2009/11/28,2009:332:08:12:53.85369,2009:332:08:13:20.46663,N,9,9,9,9,9,9,9,9,9.51,17.15,11.82,8.88,.21,30.70612942,157.57620169, 34.61393   (34°36'50.15"N),  33.11098   (33°06'39.53"E), 35.54550   (35°32'43.80"N),  32.33159  (32°19'53.72"E), 35.25371   (35°15'13.36"N),  34.33660   (34°20'11.76"E), 33.96305   (33°57'46.98"N),  31.90326   (31°54'11.74"E), 33.67661 (33°40'35.80"N),  33.87196   (33°52'19.06"E),Yes                                ,NOMINAL,NA,TMR_L0RP,TM L1T,GLS2000,GEOTIFF,DEFINITIVE, 35.56428   (35°33'51.41"N),  31.78618   (31°47'10.25"N), 35.56189   (35°33'42.80"N),  34.43115   (34°25'52.14"N), 33.64386   (33°38'37.90"N),  31.81381  (31°48'49.72"E), 33.64164   (33°38'29.90"N),  34.39857   (34°23'54.85"N),7991,7101,7101,7991,203,3.636,2.298,2.818,.084,UTM,WGS84,WGS84,36,,,,,30,30,NORTH_UP,CUBIC_CONVOLUTION,34.61393,33.11098,35.5455,32.33159,35.25371,34.3366,33.96305,31.90326,33.67661,33.87196,LT51760362009332MOR00,LT51760362009332MOR00,http://earthexplorer.usgs.gov/download/options/5440/LT51760362009332MOR00
