Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC81760362016080LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160320075708_20160320085430.01,LT8BPF20160309080230_20160324033852.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/03/20,2016:080:08:22:11.2720110,2016:080:08:22:43.0420080,9,6.81,49.24085366,143.00349344,5.449,4.438,223,4,Y,LPGS_2.6.2,34°36'39.53"N,33°05'59.24"E,35°39'45.90"N,32°19'11.96"E,35°16'19.88"N,34°21'49.68"E,33°32'42.65"N,33°51'20.88"E,33°56'06.72"N,31°51'14.76"E,34.61098,33.09979,35.66275,32.31999,35.27219,34.3638,33.54518,33.8558,33.9352,31.8541,LC81760362016080LGN00,LC81760362016080LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016080LGN00
LC81760362016064LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160304063017_20160304085348.01,LT8BPF20160223122621_20160309074854.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/03/04,2016:064:08:22:17.4168920,2016:064:08:22:49.1868880,9,29.16,43.22928313,146.04283387,5.239,4.179,102,4,Y,LPGS_2.6.2,34°36'38.70"N,33°06'08.10"E,35°39'45.32"N,32°19'20.60"E,35°16'18.80"N,34°21'59.04"E,33°32'41.75"N,33°51'29.95"E,33°56'06.32"N,31°51'23.08"E,34.61075,33.10225,35.66259,32.32239,35.27189,34.3664,33.54493,33.85832,33.93509,31.85641,LC81760362016064LGN00,LC81760362016064LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016064LGN00
LC81760362016048LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160217081047_20160217085749.02,LT8BPF20160208080723_20160223100557.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/02/17,2016:048:08:22:18.5237700,2016:048:08:22:50.2937660,9,51.38,37.68883385,148.8602668,4.887,4.51,350,4,Y,LPGS_2.6.2,34°36'38.02"N,33°07'17.44"E,35°39'44.71"N,32°20'30.62"E,35°16'18.05"N,34°23'08.09"E,33°32'40.78"N,33°52'38.53"E,33°56'05.53"N,31°52'32.59"E,34.61056,33.12151,35.66242,32.34184,35.27168,34.38558,33.54466,33.87737,33.93487,31.87572,LC81760362016048LGN00,LC81760362016048LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016048LGN00
LC81760362016032LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160201081454_20160201085758.01,LT8BPF20160124171309_20160208072447.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/02/01,2016:032:08:22:27.2286910,2016:032:08:22:58.9986880,9,83.17,33.14159,151.66824267,6.469,4.815,136,4,Y,LPGS_2.6.2,34°36'38.41"N,33°06'11.81"E,35°39'45.29"N,32°19'25.28"E,35°16'18.26"N,34°22'02.68"E,33°32'41.28"N,33°51'32.62"E,33°56'06.32"N,31°51'26.75"E,34.61067,33.10328,35.66258,32.32369,35.27174,34.36741,33.5448,33.85906,33.93509,31.85743,LC81760362016032LGN00,LC81760362016032LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016032LGN00
LC81760362016016LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20160116081345_20160116090136.02,LT8BPF20160110081635_20160124145303.01,L8CPF20160101_20160331.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2016/01/16,2016:016:08:22:29.2279610,2016:016:08:23:00.9979580,9,9.06,30.02763443,154.44281809,4.81,4.087,320,4,Y,LPGS_2.6.2,34°36'37.87"N,33°06'31.32"E,35°39'44.89"N,32°19'45.12"E,35°16'17.62"N,34°22'22.26"E,33°32'40.42"N,33°51'51.91"E,33°56'05.75"N,31°51'46.30"E,34.61052,33.1087,35.66247,32.3292,35.27156,34.37285,33.54456,33.86442,33.93493,31.86286,LC81760362016016LGN00,LC81760362016016LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362016016LGN00
LC81760362015365LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151231081434_20151231090137.02,LT8BPF20151225202015_20160110080819.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/31,2015:365:08:22:30.7961830,2015:365:08:23:02.5661800,9,80.09,28.65308527,157.00393209,5.366,5.06,36,4,Y,LPGS_2.6.2,34°36'39.28"N,33°06'41.44"E,35°39'46.44"N,32°19'55.60"E,35°16'18.95"N,34°22'32.27"E,33°32'41.78"N,33°52'01.49"E,33°56'07.30"N,31°51'56.30"E,34.61091,33.11151,35.6629,32.33211,35.27193,34.37563,33.54494,33.86708,33.93536,31.86564,LC81760362015365LGN00,LC81760362015365LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015365LGN00
LC81760362015349LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151215081411_20151215090139.01,LT8BPF20151211180214_20151225175916.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/12/15,2015:349:08:22:31.9970060,2015:349:08:23:03.7670020,9,44.5,29.12459821,159.00537306,5.201,4.613,308,4,Y,LPGS_2.6.2,34°36'38.77"N,33°06'42.52"E,35°39'45.97"N,32°19'56.46"E,35°16'18.05"N,34°22'33.92"E,33°32'41.17"N,33°52'02.86"E,33°56'07.12"N,31°51'56.95"E,34.61077,33.11181,35.66277,32.33235,35.27168,34.37609,33.54477,33.86746,33.93531,31.86582,LC81760362015349LGN00,LC81760362015349LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015349LGN00
LC81760362015333LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151129081349_20151129090140.02,LT8BPF20151126105640_20151211174838.04,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/29,2015:333:08:22:33.2592170,2015:333:08:23:05.0292130,9,7.33,31.33567315,160.07867849,5.188,4.474,261,4,Y,LPGS_2.6.2,34°36'39.53"N,33°06'28.37"E,35°39'46.84"N,32°19'42.71"E,35°16'18.70"N,34°22'19.85"E,33°32'41.86"N,33°51'48.38"E,33°56'08.02"N,31°51'42.80"E,34.61098,33.10788,35.66301,32.32853,35.27186,34.37218,33.54496,33.86344,33.93556,31.86189,LC81760362015333LGN00,LC81760362015333LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015333LGN00
LC81760362015317LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151113081234_20151113085801.02,LT8BPF20151029161821_20151113130336.01,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/11/13,2015:317:08:22:30.1242230,2015:317:08:23:01.8942190,9,.52,34.98175575,159.86283824,4.828,4.505,334,4,Y,LPGS_2.6.2,34°36'39.24"N,33°07'09.19"E,35°39'46.69"N,32°20'23.50"E,35°16'18.12"N,34°23'01.10"E,33°32'41.39"N,33°52'29.21"E,33°56'08.02"N,31°52'23.12"E,34.6109,33.11922,35.66297,32.33986,35.2717,34.38364,33.54483,33.87478,33.93556,31.87309,LC81760362015317LGN00,LC81760362015317LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015317LGN00
LC81760362015301LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151028081123_20151028085801.02,LT8BPF20151028080729_20151028085920.02,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/28,2015:301:08:22:30.1589650,2015:301:08:23:01.9289620,9,36.57,39.63209655,158.09878766,5.365,4.484,154,4,Y,LPGS_2.6.2,34°36'38.45"N,33°06'46.30"E,35°39'46.15"N,32°20'00.67"E,35°16'17.26"N,34°22'38.35"E,33°32'40.52"N,33°52'06.20"E,33°56'07.44"N,31°52'00.08"E,34.61068,33.11286,35.66282,32.33352,35.27146,34.37732,33.54459,33.86839,33.9354,31.86669,LC81760362015301LGN00,LC81760362015301LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015301LGN00
LC81760362015285LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20151012081117_20151012085731.02,LT8BPF20151012080723_20151012085850.02,L8CPF20151001_20151231.05,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/12,2015:285:08:22:24.7595770,2015:285:08:22:56.5295730,9,11.84,44.79683325,154.62717118,4.957,4.665,301,4,Y,LPGS_2.6.2,34°36'39.10"N,33°07'31.98"E,35°39'46.84"N,32°20'46.86"E,35°16'17.65"N,34°23'24.07"E,33°32'41.06"N,33°52'51.46"E,33°56'08.23"N,31°52'45.73"E,34.61086,33.12555,35.66301,32.34635,35.27157,34.39002,33.54474,33.88096,33.93562,31.87937,LC81760362015285LGN00,LC81760362015285LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015285LGN00
LC81760362015269LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150926081005_20150926085531.02,LT8BPF20150926080611_20150926085650.02,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/26,2015:269:08:22:24.1279260,2015:269:08:22:55.8979220,9,1.91,49.99855188,149.42773503,5.196,4.804,278,4,Y,LPGS_2.6.2,34°36'37.98"N,33°06'50.15"E,35°39'45.83"N,32°20'04.99"E,35°16'16.32"N,34°22'42.38"E,33°32'39.84"N,33°52'09.55"E,33°56'07.33"N,31°52'03.65"E,34.61055,33.11393,35.66273,32.33472,35.2712,34.37844,33.5444,33.86932,33.93537,31.86768,LC81760362015269LGN00,LC81760362015269LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015269LGN00
LC81760362015253LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150910075714_20150910085324.01,LT8BPF20150910075320_20150910085443.01,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/10,2015:253:08:22:17.4152350,2015:253:08:22:49.1852310,9,31.01,54.82978123,142.68658878,4.984,4.734,273,4,Y,LPGS_2.6.2,34°36'39.28"N,33°07'25.03"E,35°39'47.34"N,32°20'40.06"E,35°16'17.62"N,34°23'17.23"E,33°32'41.14"N,33°52'44.08"E,33°56'08.81"N,31°52'38.39"E,34.61091,33.12362,35.66315,32.34446,35.27156,34.38812,33.54476,33.87891,33.93578,31.87733,LC81760362015253LGN00,LC81760362015253LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015253LGN00
LC81760362015237LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150825075708_20150825084207.02,LT8BPF20150825075314_20150825084326.02,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/25,2015:237:08:22:11.0599440,2015:237:08:22:42.8299400,9,4.78,58.99643431,134.8833758,4.863,5.098,208,4,Y,LPGS_2.6.2,34°36'39.56"N,33°07'38.82"E,35°39'47.59"N,32°20'54.71"E,35°16'17.90"N,34°23'30.91"E,33°32'41.21"N,33°52'57.36"E,33°56'08.95"N,31°52'52.61"E,34.61099,33.12745,35.66322,32.34853,35.27164,34.39192,33.54478,33.8826,33.93582,31.88128,LC81760362015237LGN00,LC81760362015237LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015237LGN00
LC81760362015221LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150809080657_20150809084159.02,LT8BPF20150809080303_20150809084318.02,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/09,2015:221:08:22:03.2192170,2015:221:08:22:34.9892130,9,5.75,62.3724347,126.915828,5.177,5.013,247,4,Y,LPGS_2.6.2,34°36'38.05"N,33°08'01.90"E,35°39'46.04"N,32°21'17.96"E,35°16'16.10"N,34°23'54.17"E,33°32'39.52"N,33°53'20.44"E,33°56'07.40"N,31°53'15.72"E,34.61057,33.13386,35.66279,32.35499,35.27114,34.39838,33.54431,33.88901,33.93539,31.8877,LC81760362015221LGN00,LC81760362015221LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015221LGN00
LC81760362015205LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150724075657_20150724084156.02,LT8BPF20150724075303_20150724084353.02,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/24,2015:205:08:21:59.9414950,2015:205:08:22:31.7114910,9,3.84,64.95773439,120.0098998,5.127,5.215,260,4,Y,LPGS_2.6.2,34°36'38.41"N,33°07'03.54"E,35°39'46.58"N,32°20'19.39"E,35°16'16.57"N,34°22'55.63"E,33°32'39.98"N,33°52'21.83"E,33°56'07.98"N,31°52'17.11"E,34.61067,33.11765,35.66294,32.33872,35.27127,34.38212,33.54444,33.87273,33.93555,31.87142,LC81760362015205LGN00,LC81760362015205LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015205LGN00
LC81760362015189LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150708075650_20150708084149.02,LT8BPF20150708075256_20150708084245.02,L8CPF20150701_20150930.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/08,2015:189:08:21:53.1550600,2015:189:08:22:24.9250560,9,7.66,66.82686904,115.54313593,5.056,5.355,255,4,Y,LPGS_2.6.2,34°36'37.91"N,33°06'48.10"E,35°39'46.08"N,32°20'03.70"E,35°16'15.78"N,34°22'40.87"E,33°32'39.30"N,33°52'07.00"E,33°56'07.58"N,31°52'01.34"E,34.61053,33.11336,35.6628,32.33436,35.27105,34.37802,33.54425,33.86861,33.93544,31.86704,LC81760362015189LGN00,LC81760362015189LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015189LGN00
LC81760362015173LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150622075643_20150622084139.02,LT8BPF20150622075246_20150622084234.02,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/22,2015:173:08:21:43.2115420,2015:173:08:22:14.9815380,9,4.44,67.93166098,114.59784941,5.104,5.197,244,4,Y,LPGS_2.6.2,34°36'38.56"N,33°07'27.48"E,35°39'46.76"N,32°20'43.48"E,35°16'16.43"N,34°23'20.11"E,33°32'39.95"N,33°52'45.98"E,33°56'08.27"N,31°52'40.84"E,34.61071,33.1243,35.66299,32.34541,35.27123,34.38892,33.54443,33.87944,33.93563,31.87801,LC81760362015173LGN00,LC81760362015173LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015173LGN00
LC81760362015157LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150606075636_20150606084131.02,LT8BPF20150606075239_20150606084226.02,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/06,2015:157:08:21:35.7920900,2015:157:08:22:07.5620860,9,10.92,68.03972442,117.48470302,5.115,5.245,192,4,Y,LPGS_2.6.2,34°36'38.56"N,33°07'06.67"E,35°39'46.84"N,32°20'22.42"E,35°16'16.36"N,34°22'59.34"E,33°32'39.95"N,33°52'25.14"E,33°56'08.41"N,31°52'19.70"E,34.61071,33.11852,35.66301,32.33956,35.27121,34.38315,33.54443,33.87365,33.93567,31.87214,LC81760362015157LGN00,LC81760362015157LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015157LGN00
LC81760362015141LGN00, 176, 036, 176, 036,NADIR,FULL,NOMINAL,LO8BPF20150521075627_20150521084123.02,LT8BPF20150521075234_20150521084216.02,L8CPF20150401_20150630.04,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/21,2015:141:08:21:27.0950900,2015:141:08:21:58.8650860,9,2.6,66.7653821,123.15586732,5.217,5.379,219,4,Y,LPGS_2.6.2,34°36'38.02"N,33°06'59.87"E,35°39'46.44"N,32°20'16.08"E,35°16'15.96"N,34°22'52.36"E,33°32'39.44"N,33°52'18.05"E,33°56'07.91"N,31°52'13.19"E,34.61056,33.11663,35.6629,32.3378,35.2711,34.38121,33.54429,33.87168,33.93553,31.87033,LC81760362015141LGN00,LC81760362015141LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC81760362015141LGN00
