browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,flightPath,sunElevation,sunAzimuth,receivingStation,sceneStartTime,sceneStopTime,imageQuality1,imageQuality2,gainBand1,gainBand2,gainBand3,gainBand4,gainBand5,gainBand6H,gainBand6L,gainBand7,gainBand8,gainChangeBand1,gainChangeBand2,gainChangeBand3,gainChangeBand4,gainChangeBand5,gainChangeBand6H,gainChangeBand6L,gainChangeBand7,gainChangeBand8,DATA_TYPE_L1,cartURL,DATE_ACQUIRED_GAP_FILL,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GAP_FILL,GROUND_CONTROL_POINTS_MODEL,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GRID_CELL_SIZE_PANCHROMATIC,GRID_CELL_SIZE_REFLECTIVE,GRID_CELL_SIZE_THERMAL,MAP_PROJECTION_L1,ORIENTATION,OUTPUT_FORMAT,PANCHROMATIC_LINES,PANCHROMATIC_SAMPLES,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,SCAN_GAP_INTERPOLATION,THERMAL_LINES,THERMAL_SAMPLES,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PROCESSING_SOFTWARE_VERSION,CPF_NAME,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2016/LE71760362016008NPA00.jpg,LE71760362016008NPA00,LANDSAT_ETM_SLC_OFF,2016-01-08,2016-02-08,176,36,35.55274,32.2965,35.25108,34.3685,33.94574,31.863,33.64989,33.89592,34.60371,33.10584,5,  51.69,  40.74,  51.64,  61.42,  52.95,DAY,DAY,29.23512268,156.11387634,NPA,2016:008:08:23:58.4518749,2016:008:08:24:25.2058750,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362016008NPA00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,31,3.881,2.995,2.469,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16261,Y,7141,8131,CUBIC_CONVOLUTION,2,7141,8131,,36,,LPGS_12.7.0,L7CPF20160101_20160331.04,3,2016-02-08 10:47:35
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015357NPA00.jpg,LE71760362015357NPA00,LANDSAT_ETM_SLC_OFF,2015-12-23,2016-01-30,176,36,35.55396,32.30855,35.2522,34.381,33.94664,31.87413,33.65058,33.90745,34.60377,33.11753,1,  15.47,  21.43,  22.39,   3.22,  14.83,DAY,DAY,28.75175476,158.37425232,NPA,2015:357:08:23:43.8751250,2015:357:08:24:10.6291249,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015357NPA00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,155,3.886,2.778,2.718,15,30,30,UTM,NORTH_UP,GEOTIFF,14241,16261,Y,7121,8131,CUBIC_CONVOLUTION,2,7121,8131,,36,,LPGS_12.7.0,L7CPF20151001_20151231.09,3,2016-01-30 10:58:19
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015341NPA00.jpg,LE71760362015341NPA00,LANDSAT_ETM_SLC_OFF,2015-12-07,2016-01-08,176,36,35.55088,32.31723,35.24897,34.39034,33.94411,31.88319,33.64788,33.91718,34.60372,33.12752,0,   0.11,   0.12,   0.28,   0.01,   0.00,DAY,DAY,30.09297562,159.90187073,NPA,2015:341:08:23:28.7452499,2015:341:08:23:55.4992500,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015341NPA00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,155,3.819,2.518,2.871,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16261,Y,7111,8131,CUBIC_CONVOLUTION,2,7111,8131,,36,,LPGS_12.7.0,L7CPF20151001_20151231.08,3,2016-01-08 10:50:12
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015325SG100.jpg,LE71760362015325SG100,LANDSAT_ETM_SLC_OFF,2015-11-21,2015-12-17,176,36,35.55074,32.31746,35.24863,34.39073,33.9437,31.88339,33.64746,33.91758,34.60324,33.12778,4,  44.18,  47.43,   7.41,  87.93,  33.94,DAY,DAY,33.04878616,160.3184967,SG1,2015:325:08:23:14.9494999,2015:325:08:23:41.7035000,9,9,L,L,L,H,H,H,L,H,L,LL,LL,LL,HH,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015325SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,84,3.801,2.269,3.049,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.7.0,L7CPF20151001_20151231.05,3,2015-12-17 10:52:24
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015309SG100.jpg,LE71760362015309SG100,LANDSAT_ETM_SLC_OFF,2015-11-05,2015-12-01,176,36,35.55024,32.32973,35.24813,34.40292,33.943,31.8948,33.64664,33.9289,34.60334,33.13972,2,  29.86,  22.27,  28.34,  45.91,  22.91,DAY,DAY,37.24167633,159.30760193,SG1,2015:309:08:22:57.5249999,2015:309:08:23:24.2790000,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015309SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,115,4.446,2.617,3.594,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16241,Y,7111,8121,CUBIC_CONVOLUTION,2,7111,8121,,36,,LPGS_12.7.0,L7CPF20151001_20151231.05,3,2015-12-01 12:21:41
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015293SG100.jpg,LE71760362015293SG100,LANDSAT_ETM_SLC_OFF,2015-10-20,2015-10-21,176,36,35.55251,32.32063,35.25038,34.39318,33.94545,31.88632,33.64913,33.91983,34.60302,33.12951,0,   0.41,   0.97,   0.26,   0.40,   0.00,DAY,DAY,42.20033264,156.64897156,SG1,2015:293:08:22:44.3107500,2015:293:08:23:11.0648125,9,9,L,L,L,H,L,H,L,L,L,LL,LL,LL,HH,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015293SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,128,4.17,2.807,3.084,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16241,Y,7101,8121,CUBIC_CONVOLUTION,2,7101,8121,,36,,LPGS_12.6.1,L7CPF20151001_20151231.02,,2015-10-21 14:10:27
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015277SG100.jpg,LE71760362015277SG100,LANDSAT_ETM_SLC_OFF,2015-10-04,2015-10-05,176,36,35.55183,32.33396,35.24984,34.40608,33.94403,31.89935,33.64771,33.93238,34.60301,33.1429,0,   0.63,   2.13,   0.40,   0.00,   0.00,DAY,DAY,47.42960739,152.24674988,SG1,2015:277:08:22:24.8406250,2015:277:08:22:51.5946874,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015277SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,110,4.022,2.515,3.139,15,30,30,UTM,NORTH_UP,GEOTIFF,14241,16241,Y,7121,8121,CUBIC_CONVOLUTION,2,7121,8121,,36,,LPGS_12.6.1,L7CPF20151001_20151231.01,,2015-10-05 14:28:19
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015245SG100.jpg,LE71760362015245SG100,LANDSAT_ETM_SLC_OFF,2015-09-02,2015-09-03,176,36,35.55407,32.31607,35.25324,34.38868,33.94657,31.88233,33.65148,33.91582,34.60624,33.12569,0,   0.02,   0.00,   0.00,   0.00,   0.06,DAY,DAY,57.02223206,138.87701416,SG1,2015:245:08:22:16.8514374,2015:245:08:22:43.6054999,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015245SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,92,4.586,3.179,3.305,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.6.1,L7CPF20150701_20150930.04,,2015-09-02 19:37:13
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015229SG101.jpg,LE71760362015229SG101,LANDSAT_ETM_SLC_OFF,2015-08-17,2015-08-18,176,36,35.55571,32.3056,35.2548,34.37834,33.94835,31.87243,33.65308,33.90604,34.60627,33.11539,0,   0.00,   0.00,   0.00,   0.00,   0.00,DAY,DAY,60.81151199,130.87983704,SG1,2015:229:08:22:17.3966875,2015:229:08:22:44.1507500,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015229SG101,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,90,4.324,2.771,3.319,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16241,Y,7111,8121,CUBIC_CONVOLUTION,2,7111,8121,,36,,LPGS_12.6.1,L7CPF20150701_20150930.03,,2015-08-18 00:10:21
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015197SG100.jpg,LE71760362015197SG100,LANDSAT_ETM_SLC_OFF,2015-07-16,2015-07-17,176,36,35.55507,32.30535,35.25392,34.37819,33.9479,31.87182,33.65262,33.9056,34.60588,33.11517,0,   0.05,   0.01,   0.00,   0.13,   0.06,DAY,DAY,66.02062988,117.44779205,SG1,2015:197:08:22:11.0915000,2015:197:08:22:37.8455624,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015197SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,68,5.696,3.754,4.284,15,30,30,UTM,NORTH_UP,GEOTIFF,14261,16221,Y,7131,8111,CUBIC_CONVOLUTION,2,7131,8111,,36,,LPGS_12.6.1,L7CPF20150701_20150930.02,,2015-07-17 16:11:51
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015181SG100.jpg,LE71760362015181SG100,LANDSAT_ETM_SLC_OFF,2015-06-30,2015-07-01,176,36,35.55281,32.3148,35.25167,34.38744,33.94534,31.88139,33.64994,33.91494,34.60573,33.12535,0,   5.19,   9.94,   3.92,   5.60,   1.29,DAY,DAY,67.52806854,114.64484406,SG1,2015:181:08:22:05.5933125,2015:181:08:22:32.3473124,9,9,H,H,H,L,H,H,L,H,L,HH,HH,HH,LL,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015181SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,40,9.985,7.085,7.036,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.6.1,L7CPF20150401_20150630.08,,2015-06-30 21:21:20
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015165ASN00.jpg,LE71760362015165ASN00,LANDSAT_ETM_SLC_OFF,2015-06-14,2015-06-15,176,36,35.55472,32.30609,35.25357,34.37832,33.94751,31.87274,33.65223,33.90593,34.60565,33.11574,3,  37.14,   4.13,  53.55,   9.24,  81.65,DAY,DAY,68.18346405,115.66118622,ASN,2015:165:08:22:03.1964374,2015:165:08:22:29.9504375,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015165ASN00,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,58,5.356,4.37,3.096,15,30,30,UTM,NORTH_UP,GEOTIFF,14221,16241,Y,7111,8121,CUBIC_CONVOLUTION,2,7111,8121,,36,,LPGS_12.6.1,L7CPF20150401_20150630.06,,2015-06-14 18:20:19
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015149SG100.jpg,LE71760362015149SG100,LANDSAT_ETM_SLC_OFF,2015-05-29,2015-05-30,176,36,35.55463,32.3154,35.25349,34.3876,33.94752,31.88186,33.65222,33.915,34.60557,33.12481,2,  21.43,  41.23,  30.03,   3.70,  10.75,DAY,DAY,67.65389252,120.1732254,SG1,2015:149:08:21:55.8718124,2015:149:08:22:22.6258749,9,9,H,H,H,L,H,H,L,H,L,HH,HH,HH,LL,HH,LL,HH,HH,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015149SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,19,4.495,2.958,3.384,15,30,30,UTM,NORTH_UP,GEOTIFF,14201,16221,Y,7101,8111,CUBIC_CONVOLUTION,2,7101,8111,,36,,LPGS_12.6.1,L7CPF20150401_20150630.05,,2015-05-29 20:35:44
Y,http://earthexplorer.usgs.gov/browse/etm/176/36/2015/LE71760362015133SG100.jpg,LE71760362015133SG100,LANDSAT_ETM_SLC_OFF,2015-05-13,2015-05-14,176,36,35.55389,32.30755,35.2528,34.37977,33.94631,31.87392,33.65091,33.90703,34.60564,33.11724,4,  49.66,  61.07,  71.56,   8.94,  57.06,DAY,DAY,65.59435272,126.53665924,SG1,2015:133:08:21:52.2632499,2015:133:08:22:19.0172499,9,9,L,L,L,L,L,H,L,L,L,LL,LL,LL,LL,LL,LL,HH,LL,LL,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_ETM_SLC_OFF&ordered=LE71760362015133SG100,,WGS84,GLS2000,WGS84,DEFINITIVE,,,,25,4.846,1.895,4.46,15,30,30,UTM,NORTH_UP,GEOTIFF,14281,16241,Y,7141,8121,CUBIC_CONVOLUTION,2,7141,8121,,36,,LPGS_12.6.1,L7CPF20150401_20150630.04,,2015-05-13 20:35:43
