browseAvailable,browseURL,sceneID,sensor,acquisitionDate,dateUpdated,path,row,upperLeftCornerLatitude,upperLeftCornerLongitude,upperRightCornerLatitude,upperRightCornerLongitude,lowerLeftCornerLatitude,lowerLeftCornerLongitude,lowerRightCornerLatitude,lowerRightCornerLongitude,sceneCenterLatitude,sceneCenterLongitude,cloudCover,cloudCoverFull,FULL_UL_QUAD_CCA,FULL_UR_QUAD_CCA,FULL_LL_QUAD_CCA,FULL_LR_QUAD_CCA,dayOrNight,sunElevation,sunAzimuth,sceneStartTime,sceneStopTime,satelliteNumber,DATA_TYPE_L1,cartURL,DATA_TYPE_L0RP,DATUM,ELEVATION_SOURCE,ELLIPSOID,EPHEMERIS_TYPE,FALSE_EASTING,FALSE_NORTHING,GROUND_CONTROL_POINTS_MODEL,GROUND_CONTROL_POINTS_VERIFY,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,GEOMETRIC_RMSE_VERIFY,GRID_CELL_SIZE_REFLECTIVE,MAP_PROJECTION_L1,MAP_PROJECTION_L0RA,ORIENTATION,OUTPUT_FORMAT,L1_AVAILABLE,REFLECTIVE_LINES,REFLECTIVE_SAMPLES,RESAMPLING_OPTION,TRUE_SCALE_LAT,UTM_ZONE,VERTICAL_LON_FROM_POLE,PRESENT_BAND_1,PRESENT_BAND_2,PRESENT_BAND_3,PRESENT_BAND_4,PRESENT_BAND_5,PRESENT_BAND_6,PRESENT_BAND_7,PRESENT_BAND_8,PROCESSING_SOFTWARE_VERSION,CPF_NAME,IMAGE_QUALITY,GROUND_CONTROL_POINTS_VERSION,DATE_L1_GENERATED
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1978/LM2176036007806390.jpg,LM21760361978063AAA04,LANDSAT_MSS,1978-03-04,2014-05-28,176,36,35.46166,51.54388,35.13576,53.54064,33.85486,51.05952,33.53517,53.01971,34.501,52.291,0,1,,,,,DAY,33,128,,,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361978063AAA04,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,413,1226,17.187,14.056,9.891,.263,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3648,4148,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.4.1,LM2CPF19750101_19820228.09,5,,2014-05-27 19:01:31
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/LM2176036007721290.jpg,LM21760361977212AAA02,LANDSAT_MSS,1977-07-31,2014-08-20,176,36,35.51073,51.41918,35.18463,53.41711,33.90397,50.93441,33.58409,52.89568,34.55,52.16666,0,4,,,,,DAY,52,106,1977:212:06:04:09.969,1977:212:06:04:10.120,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977212AAA02,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,387,1148,23.530,18.762,14.201,.325,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3657,4185,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.4.1,LM2CPF19750101_19820228.09,4,,2014-08-20 14:43:30
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/217603600771949002.jpg,LM21760361977194GMD02,LANDSAT_MSS,1977-07-13,2014-08-21,176,36,35.49404,51.43598,35.16801,53.43351,33.88726,50.95135,33.56745,52.91225,34.53333,52.18333,0,4,,,,,DAY,54,100,1977:194:06:04:52.169,1977:194:06:05:20.659,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977194GMD02,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,394,1242,21.478,16.75,13.444,.279,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3646,4180,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,8,,2014-08-21 19:49:10
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/217603600771589002.jpg,LM21760361977158AAA02,LANDSAT_MSS,1977-06-07,2014-08-21,176,36,35.46066,51.46955,35.13477,53.46629,33.85386,50.9852,33.53417,52.94537,34.5,52.21667,0,4,,,,,DAY,56,101,1977:158:06:06:40.860,1977:158:06:07:09.349,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977158AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,411,1264,18.581,15.631,10.046,.258,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3659,4128,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,6,,2014-08-21 21:19:34
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/217603600771409002.jpg,LM21760361977140GMD02,LANDSAT_MSS,1977-05-20,2014-08-25,176,36,35.62756,51.485,35.30099,53.48571,34.02089,50.99926,33.70058,52.96311,34.66667,52.23333,8,86,,,,,DAY,55,106,1977:140:06:07:33.169,1977:140:06:08:01.659,LANDSAT_2,L1G,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977140GMD02,MSSX_L0RP,WGS84,,WGS84,PREDICTIVE,,,,,,,,,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3652,4107,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,9,,2014-08-25 13:58:55
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/217603600771229003.jpg,LM21760361977122XXX03,LANDSAT_MSS,1977-05-02,2014-08-25,176,36,35.46066,51.45288,35.13477,53.44963,33.85386,50.96853,33.53417,52.92871,34.5,52.2,2,21,,,,,DAY,53,112,1977:122:06:08:33.670,1977:122:06:09:02.299,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977122XXX03,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,207,419,20.876,16.035,13.368,.273,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3660,4131,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,9,,2014-08-25 14:27:14
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1977/217603600770689003.jpg,LM21760361977068FAK03,LANDSAT_MSS,1977-03-09,2014-08-26,176,36,35.47735,51.33609,35.15139,53.33323,33.87056,50.8516,33.55081,52.81215,34.51667,52.08333,0,4,,,,,DAY,37,130,1977:068:06:11:16.060,1977:068:06:11:44.689,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361977068FAK03,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,417,1269,22.517,17.953,13.59,.272,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3622,4199,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,8,,2014-08-26 17:13:24
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600763449002.jpg,LM21760361976344AAA02,LANDSAT_MSS,1976-12-09,2015-07-08,176,36,35.46066,51.46955,35.13477,53.46629,33.85386,50.9852,33.53417,52.94537,34.5,52.21667,0,5,,,,,DAY,25,147,1976:344:06:14:53.699,1976:344:06:15:22.339,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976344AAA02,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,297,1125,17.865,13.97,11.136,.236,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3660,4151,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.6.1,LM2CPF19750101_19820228.09,6,,2015-07-08 09:22:56
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/LM2176036007632690.jpg,LM21760361976326AAA05,LANDSAT_MSS,1976-11-21,2014-09-03,176,36,35.47728,51.40276,35.15132,53.3999,33.87049,50.91827,33.55074,52.87881,34.5166,52.15,0,4,,,,,DAY,28,147,,,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976326AAA05,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,402,1518,24.790,14.743,19.929,.44,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3648,4185,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.5.0,LM2CPF19750101_19820228.09,5,,2014-09-04 02:23:47
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600763089003.jpg,LM21760361976308FAK03,LANDSAT_MSS,1976-11-03,2014-09-03,176,36,35.44397,51.38634,35.11814,53.38269,33.83715,50.90213,33.51753,52.86193,34.48333,52.13334,3,37,,,,,DAY,32,145,1976:308:06:16:20.180,1976:308:06:16:48.670,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976308FAK03,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,111,381,24.636,21.265,12.44,.387,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3648,4196,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,9,,2014-09-04 03:04:48
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600762549003.jpg,LM21760361976254GDS03,LANDSAT_MSS,1976-09-10,2014-10-30,176,36,35.61087,51.46846,35.28437,53.46877,34.00419,50.98286,33.68394,52.94633,34.65,52.21667,0,3,,,,,DAY,47,127,1976:254:06:18:06.069,1976:254:06:18:34.699,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976254GDS03,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,412,1289,21.685,17.401,12.94,.27,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3664,4132,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,8,,2014-10-30 05:40:57
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600762369007.jpg,LM21760361976236GDS07,LANDSAT_MSS,1976-08-23,2014-10-30,176,36,35.66093,51.50143,35.33423,53.50293,34.0543,51.0154,33.73387,52.97999,34.7,52.25,0,4,,,,,DAY,51,119,1976:236:06:18:35.050,1976:236:06:19:03.680,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976236GDS07,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,410,1007,20.637,16.139,12.862,.29,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3664,4121,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,9,,2014-10-30 05:41:09
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600761829005.jpg,LM21760361976182GDS05,LANDSAT_MSS,1976-06-30,2014-10-30,176,36,35.46066,51.50288,35.13477,53.49963,33.85386,51.01853,33.53417,52.97871,34.5,52.25,0,4,,,,,DAY,58,102,1976:182:06:20:10.669,1976:182:06:20:39.310,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976182GDS05,MSSR_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,430,1310,22.097,19.265,10.823,.289,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3659,4188,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,7,,2014-10-30 05:42:05
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/217603600761649007.jpg,LM21760361976164GDS07,LANDSAT_MSS,1976-06-12,2014-10-30,176,36,35.46066,51.45288,35.13477,53.44963,33.85386,50.96853,33.53417,52.92871,34.5,52.2,0,3,,,,,DAY,59,103,1976:164:06:20:39.090,1976:164:06:21:07.719,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976164GDS07,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,400,1260,21.112,18.058,10.938,.291,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3642,4183,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,9,,2014-10-30 05:42:41
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/LM2176036007614690.jpg,LM21760361976146AAA05,LANDSAT_MSS,1976-05-25,2014-10-30,176,36,35.49404,51.45264,35.16801,53.45017,33.88726,50.96801,33.56745,52.92892,34.53333,52.2,0,5,,,,,DAY,59,107,,,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976146AAA05,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,298,851,18.672,14.912,11.237,.259,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3635,4164,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.5.0,LM2CPF19750101_19820228.09,5,,2014-10-30 05:41:49
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1976/LM2176036007605690.jpg,LM21760361976056AAA02,LANDSAT_MSS,1976-02-25,2016-02-10,176,36,35.49404,51.40264,35.16801,53.40017,33.88726,50.91801,33.56745,52.87892,34.53333,52.15,6,61,,,,,DAY,34,136,1976:056:06:23:55.490,1976:056:06:23:55.640,LANDSAT_2,L1G,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361976056AAA02,MSSX_L0RP,WGS84,,WGS84,PREDICTIVE,,,,,,,,,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3643,4201,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.7.0,LM2CPF19750101_19820228.09,4,,2016-02-11 04:06:24
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1975/LM2176036007527790.jpg,LM21760361975277AAA05,LANDSAT_MSS,1975-10-04,2014-10-30,176,36,35.46066,51.53617,35.13477,53.53292,33.85385,51.05182,33.53417,53.01199,34.5,52.28329,0,1,,,,,DAY,43,139,,,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361975277AAA05,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,449,1509,22.738,19.232,12.131,.303,60,UTM,SOM,NORTH_UP,GEOTIFF,Y,3631,4185,CUBIC_CONVOLUTION,,39,,U,U,U,U,U,U,U,U,LPGS_12.5.0,LM2CPF19750101_19820228.09,5,,2014-10-30 05:42:56
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1975/217603600751699004.jpg,LM21760361975169GMD04,LANDSAT_MSS,1975-06-18,2014-10-30,176,36,35.49404,51.45264,35.16801,53.45017,33.88726,50.96801,33.56745,52.92892,34.53333,52.2,0,3,,,,,DAY,60,103,1975:169:06:27:01.090,1975:169:06:27:29.719,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361975169GMD04,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,420,1233,26.923,21.849,15.732,.377,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3632,4178,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.5.0,LM2CPF19750101_19820228.09,4,,2014-10-30 05:40:35
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1975/217603600750619003.jpg,LM21760361975061FAK03,LANDSAT_MSS,1975-03-02,2014-04-29,176,36,35.62756,51.65167,35.30099,53.65237,34.02089,51.16593,33.70058,53.12978,34.66667,52.4,0,6,,,,,DAY,37,136,1975:061:06:27:11.079,1975:061:06:27:39.710,LANDSAT_2,L1T,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM21760361975061FAK03,MSSX_L0RP,WGS84,GLS2000,WGS84,PREDICTIVE,,,379,1174,17.948,15.791,8.53,.233,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3653,4134,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.4.1,LM2CPF19750101_19820228.09,6,,2014-04-29 14:48:28
Y,http://earthexplorer.usgs.gov/browse/mss/176/36/1973/117603600730269001.jpg,LM11760361973026XXX01,LANDSAT_MSS,1973-01-26,2016-02-11,176,36,35.43862,51.57624,35.12717,53.57607,33.82825,51.10889,33.52275,53.0719,34.48333,52.33333,7,80,,,,,DAY,29,145,1973:026:06:38:45.660,1973:026:06:39:14.149,LANDSAT_1,L1G,http://earthexplorer.usgs.gov/order/process?dataset_name=LANDSAT_MSS&ordered=LM11760361973026XXX01,MSSR_L0RP,WGS84,,WGS84,PREDICTIVE,,,,,,,,,60,UTM,NA,NORTH_UP,GEOTIFF,Y,3663,4134,CUBIC_CONVOLUTION,,39,,N,N,N,Y,Y,Y,Y,N,LPGS_12.7.0,LM1CPF19720723_19780107.05,6,,2016-02-12 03:11:01
